Climate Treatment,Days Compared,Difference,95% Confidence Interval,p-value
Hot Dry,day 4-0,13.09,"-0.15, 26.32",0.053
,day 8-0,12.56,"-0.99, 26.11",0.075
,day 8-4,-0.53,"-14.08, 13.02",0.995
Hot Humid,day 4-0,11.84,"-0.45, 24.13",0.061
,day 8-0,3.78,"-8.51, 16.07",0.745
,day 8-4,-8.06,"-20.44, 4.32",0.273
Cool Dry,day 4-0,8.3,"-6.67, 23.28",0.388
,day 8-0,0.91,"-14.44, 16.25",0.989
,day 8-4,-7.4,"-22.74, 7.95",0.487
Cool Humid,day 4-0,4.9,"-9.16, 18.96",0.685
,day 8-0,-5.3,"-19.7, 9.09",0.656
,day 8-4,-10.2,"-24.6, 4.19",0.215